ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa,best_time,fast_label
bcgs,ilu,1e-08,500,1,2,1,0.0002970830537378,1.0941426872861514e-29,2.2231751450042295e-16,,Chem97ZtZ,2541,2541,7361,1,True,1.0,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,5.419696,1318.0238,0.0,0.0,1324.3336189920838,1330.0201607265064,240.3640062738359,319688.97425719426,0.0001871669664978,0
bcgs,jacobi,1e-08,500,1,2,14,0.0002618749858811,1.059091121945222e-07,5.980336527488269e-09,,Chem97ZtZ,2541,2541,7361,1,True,14.0,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,5.419696,1318.0238,0.0,0.0,1324.3336189920838,1330.0201607265064,240.3640062738359,319688.97425719426,0.0001871669664978,0
cg,jacobi,1e-08,500,1,2,22,0.0001871669664978,7.331916408937285e-07,2.0511235234312365e-08,,Chem97ZtZ,2541,2541,7361,1,True,22.0,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,5.419696,1318.0238,0.0,0.0,1324.3336189920838,1330.0201607265064,240.3640062738359,319688.97425719426,0.0001871669664978,1
gmres,ilu,1e-08,500,1,2,1,0.0003042089520022,1.3674251831838766e-13,2.6441475928705964e-15,,Chem97ZtZ,2541,2541,7361,1,True,1.0,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,5.419696,1318.0238,0.0,0.0,1324.3336189920838,1330.0201607265064,240.3640062738359,319688.97425719426,0.0001871669664978,0
gmres,jacobi,1e-08,500,1,2,21,0.0003855830291286,6.612550473752666e-07,5.01336498596668e-08,,Chem97ZtZ,2541,2541,7361,1,True,21.0,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,51.04293359340667,135.79211910801325,5.511179976413037,1324.689298426782,5.419696,1318.0238,0.0,0.0,1324.3336189920838,1330.0201607265064,240.3640062738359,319688.97425719426,0.0001871669664978,0
bcgs,ilu,1e-08,500,1,2,27,0.0553888749564066,5.185342497219379e-07,4.66597731732195e-08,,Dubcova1,16129,16129,253009,1,True,27.0,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,0.7999999999999953,2.666666666666677,0.0,0.0,4.636398961509459,4.717361229809789,3.0408182027977113,14.344637896777805,0.0255364580079913,0
bcgs,jacobi,1e-08,500,1,2,69,0.0265625410247594,4.922002218480543e-07,1.472672739715105e-06,,Dubcova1,16129,16129,253009,1,True,69.0,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,0.7999999999999953,2.666666666666677,0.0,0.0,4.636398961509459,4.717361229809789,3.0408182027977113,14.344637896777805,0.0255364580079913,1
cg,jacobi,1e-08,500,1,2,96,0.0292496250476688,8.251726753527885e-07,3.1994589812751586e-08,,Dubcova1,16129,16129,253009,1,True,96.0,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,0.7999999999999953,2.666666666666677,0.0,0.0,4.636398961509459,4.717361229809789,3.0408182027977113,14.344637896777805,0.0255364580079913,0
gmres,ilu,1e-08,500,1,2,36,0.0506732920184731,1.105929199301663e-06,1.35130129393366e-07,,Dubcova1,16129,16129,253009,1,True,36.0,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,0.7999999999999953,2.666666666666677,0.0,0.0,4.636398961509459,4.717361229809789,3.0408182027977113,14.344637896777805,0.0255364580079913,0
gmres,jacobi,1e-08,500,1,2,275,0.0742477080784738,8.841996154250724e-07,3.6069885126553737e-06,,Dubcova1,16129,16129,253009,1,True,275.0,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,2.0087999423151492,0.6581710380698506,0.9865765724632442,3.000000000000008,0.7999999999999953,2.666666666666677,0.0,0.0,4.636398961509459,4.717361229809789,3.0408182027977113,14.344637896777805,0.0255364580079913,0
bcgs,ilu,1e-08,500,1,2,52,0.3556881250115111,1.402533182665969e-06,2.555265073851856e-07,,Dubcova2,65025,65025,1030225,1,True,52.0,1030225,0.0002436527754312,15.843521722414456,5.762182765864774,4.0,25.0,0.0,1.729673202614374,0.6599612543756807,0.0001230296039984,8.599319657044246,8.599319657044244,1.0,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,0.7999999999999944,2.666666666666677,0.0,0.0,4.639320635956799,4.717161906324336,3.040818202797711,14.344031790294991,0.1352920420467853,0
bcgs,jacobi,1e-08,500,1,2,132,0.1729199580149725,8.636748302478923e-07,6.212607615147505e-06,,Dubcova2,65025,65025,1030225,1,True,132.0,1030225,0.0002436527754312,15.843521722414456,5.762182765864774,4.0,25.0,0.0,1.729673202614374,0.6599612543756807,0.0001230296039984,8.599319657044246,8.599319657044244,1.0,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,0.7999999999999944,2.666666666666677,0.0,0.0,4.639320635956799,4.717161906324336,3.040818202797711,14.344031790294991,0.1352920420467853,0
cg,jacobi,1e-08,500,1,2,180,0.1425579580245539,1.6672371943994236e-06,6.186829513660544e-08,,Dubcova2,65025,65025,1030225,1,True,180.0,1030225,0.0002436527754312,15.843521722414456,5.762182765864774,4.0,25.0,0.0,1.729673202614374,0.6599612543756807,0.0001230296039984,8.599319657044246,8.599319657044244,1.0,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,0.7999999999999944,2.666666666666677,0.0,0.0,4.639320635956799,4.717161906324336,3.040818202797711,14.344031790294991,0.1352920420467853,1
gmres,ilu,1e-08,500,1,2,85,0.3193725839955732,2.2893251685585404e-06,1.0544269215918555e-06,,Dubcova2,65025,65025,1030225,1,True,85.0,1030225,0.0002436527754312,15.843521722414456,5.762182765864774,4.0,25.0,0.0,1.729673202614374,0.6599612543756807,0.0001230296039984,8.599319657044246,8.599319657044244,1.0,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,2.0143242710864593,0.6583701035553825,0.9865765724632444,3.000000000000008,0.7999999999999944,2.666666666666677,0.0,0.0,4.639320635956799,4.717161906324336,3.040818202797711,14.344031790294991,0.1352920420467853,0
bcgs,jacobi,1e-08,500,1,2,208,0.0111139999935403,5.455853438644521e-06,0.5935464315874628,,Erdos02,6927,6927,16944,1,True,208.0,16944,0.0003531226439082,2.4460805543525335,8.422025019326755,0.0,507.0,1.0,0.0,0.0,0.2010971560560127,507.0,507.0,1.0,1.1236599846352315,1.0878735189727178,0.0,22.516660498395403,1.1236599846352315,1.0878735189727178,0.0,22.516660498395403,0.0,0.0,1.0,0.0,25.77858407005416,25.841292763817908,22.516660498395403,581.8596160025296,0.0063649169169366,0
gmres,jacobi,1e-08,500,1,2,401,0.0215819160221144,7.140775838740168e-06,0.5935464315874687,,Erdos02,6927,6927,16944,1,True,401.0,16944,0.0003531226439082,2.4460805543525335,8.422025019326755,0.0,507.0,1.0,0.0,0.0,0.2010971560560127,507.0,507.0,1.0,1.1236599846352315,1.0878735189727178,0.0,22.516660498395403,1.1236599846352315,1.0878735189727178,0.0,22.516660498395403,0.0,0.0,1.0,0.0,25.77858407005416,25.841292763817908,22.516660498395403,581.8596160025296,0.0063649169169366,0
bcgs,jacobi,1e-08,500,1,2,200,0.008164457976818,3.5900940129855207e-06,0.5506085700850165,,Erdos972,5488,5488,14170,1,True,200.0,14170,0.0004704805183214,2.581997084548105,5.948685777880398,0.0,61.0,1.0,0.0,0.0,0.1346574344023323,61.0,61.0,1.0,1.224385047251794,1.0406144053463449,0.0,7.810249675906654,1.224385047251794,1.0406144053463449,0.0,7.810249675906654,0.0,0.0,1.0,0.0,14.44674356840016,14.44819295061754,7.810249675906654,112.84399430999744,0.0041618340183049,0
gmres,jacobi,1e-08,500,1,2,295,0.0122124169720336,4.791412313574959e-06,0.550608570085018,,Erdos972,5488,5488,14170,1,True,295.0,14170,0.0004704805183214,2.581997084548105,5.948685777880398,0.0,61.0,1.0,0.0,0.0,0.1346574344023323,61.0,61.0,1.0,1.224385047251794,1.0406144053463449,0.0,7.810249675906654,1.224385047251794,1.0406144053463449,0.0,7.810249675906654,0.0,0.0,1.0,0.0,14.44674356840016,14.44819295061754,7.810249675906654,112.84399430999744,0.0041618340183049,0
bcgs,jacobi,1e-08,500,1,2,189,0.0079583749175071,4.159356739163512e-06,0.5602924774963758,,Erdos982,5822,5822,14750,1,True,189.0,14750,0.0004351586473369,2.5334936447956027,5.9478289579328525,0.0,61.0,1.0,0.0,0.0,0.1477155616626588,61.0,61.0,1.0,1.2015586633470765,1.043911118501566,0.0,7.810249675906654,1.2015586633470765,1.043911118501566,0.0,7.810249675906654,0.0,0.0,1.0,0.0,11.971012261494636,14.654946819997496,7.810249675906654,114.45879365131468,0.0045934999361634,0
