ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa
bcgs,ilu,1e-08,500,1,2,47,0.0082206670194864,2.5001955324141675e-08,7.46439075623274e-08,,ACTIVSg2000,4000,4000,29336,1,True,47.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
bcgs,jacobi,1e-08,500,1,2,268,0.0116510830121114,7.758053187873027e-08,2.0953108743901187e-06,,ACTIVSg2000,4000,4000,29336,1,True,268.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
cg,jacobi,1e-08,500,0,-4,6,0.0002651669783517,371234.0698475035,5688.946903586881,,ACTIVSg2000,4000,4000,29336,1,False,,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
gmres,ilu,1e-08,500,1,2,299,0.0263557090656831,2.103333983825433e-07,3.726904185421948e-06,,ACTIVSg2000,4000,4000,29336,1,True,299.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
gmres,jacobi,1e-08,500,0,-3,500,0.0201209590304642,0.0019250962446785,0.6185929348530803,,ACTIVSg2000,4000,4000,29336,1,False,,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472
bcgs,ilu,1e-08,500,0,-3,500,0.1212027090368792,281767.7188776044,261.5378002774181,,Alemdar,6245,6245,42581,1,False,,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
bcgs,jacobi,1e-08,500,0,-3,500,0.0362082499777898,0.5844806509076419,0.0209957626740982,,Alemdar,6245,6245,42581,1,False,,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
cg,jacobi,1e-08,500,0,-10,3,0.0002426250139251,391.70633430723655,0.2864479191305343,,Alemdar,6245,6245,42581,0,False,,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
gmres,ilu,1e-08,500,0,-3,500,0.0778276249766349,3553.864860696292,6.064584635369274,,Alemdar,6245,6245,42581,1,False,,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
gmres,jacobi,1e-08,500,0,-3,500,0.0314534170320257,0.959013695613991,0.033254607785,,Alemdar,6245,6245,42581,1,False,,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0,21.139447848377294,5.041362706685162,1.0,27.018512172212592,21.139447848377294,5.041362706685162,1.0,27.018512172212592,1.0,1.0,0.0,0.0,66.91806552504596,68.25072021943582,27.018512172212592,1844.032915011103
