ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used
cg,jacobi,1e-08,500,0,-4,42,0.0007958330679684,19537542583358.414,145997579005.32635,,Chebyshev2,2053,2053,18447
gmres,ilu,1e-08,500,1,2,269,0.0139028750127181,886261.8945433868,1529346739.897411,,Chebyshev2,2053,2053,18447
gmres,jacobi,1e-08,500,1,2,4,0.0001192920608446,17.00676258320047,2.060359180887385,,Chebyshev2,2053,2053,18447
bcgs,ilu,1e-08,500,0,-3,500,0.0793157500447705,97142324.21012826,3292828752574.7056,,Chebyshev3,4101,4101,36879
bcgs,jacobi,1e-08,500,1,2,4,0.0003230420406907,114.3378108626,1.87736134867793,,Chebyshev3,4101,4101,36879
cg,jacobi,1e-08,500,0,-4,68,0.002476125024259,2028993811575212.0,8861735136810.064,,Chebyshev3,4101,4101,36879
gmres,ilu,1e-08,500,0,-3,500,0.0501674170373007,10903465.280932551,50614927421.13989,,Chebyshev3,4101,4101,36879
gmres,jacobi,1e-08,500,1,2,2,0.0001176669029518,111.06768803668248,1.7980338588300744,,Chebyshev3,4101,4101,36879
bcgs,ilu,1e-08,500,1,2,1,0.0002970830537378,1.0941426872861514e-29,2.2231751450042295e-16,,Chem97ZtZ,2541,2541,7361
bcgs,jacobi,1e-08,500,1,2,14,0.0002618749858811,1.059091121945222e-07,5.980336527488269e-09,,Chem97ZtZ,2541,2541,7361
cg,jacobi,1e-08,500,1,2,22,0.0001871669664978,7.331916408937285e-07,2.0511235234312365e-08,,Chem97ZtZ,2541,2541,7361
gmres,ilu,1e-08,500,1,2,1,0.0003042089520022,1.3674251831838766e-13,2.6441475928705964e-15,,Chem97ZtZ,2541,2541,7361
gmres,jacobi,1e-08,500,1,2,21,0.0003855830291286,6.612550473752666e-07,5.01336498596668e-08,,Chem97ZtZ,2541,2541,7361
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,CollegeMsg,1899,1899,20296
bcgs,jacobi,1e-08,500,0,-3,500,0.016959041939117,425.595919996939,6.386251396823078,,CollegeMsg,1899,1899,20296
cg,jacobi,1e-08,500,0,-10,2,7.90000194683671e-05,1527.2910588191205,0.9529801148083412,,CollegeMsg,1899,1899,20296
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,CollegeMsg,1899,1899,20296
gmres,jacobi,1e-08,500,0,-3,500,0.0124802909558638,101.8476633792576,1.0366114869222038,,CollegeMsg,1899,1899,20296
bcgs,ilu,1e-08,500,1,2,27,0.0553888749564066,5.185342497219379e-07,4.66597731732195e-08,,Dubcova1,16129,16129,253009
bcgs,jacobi,1e-08,500,1,2,69,0.0265625410247594,4.922002218480543e-07,1.472672739715105e-06,,Dubcova1,16129,16129,253009
cg,jacobi,1e-08,500,1,2,96,0.0292496250476688,8.251726753527885e-07,3.1994589812751586e-08,,Dubcova1,16129,16129,253009
gmres,ilu,1e-08,500,1,2,36,0.0506732920184731,1.105929199301663e-06,1.35130129393366e-07,,Dubcova1,16129,16129,253009
gmres,jacobi,1e-08,500,1,2,275,0.0742477080784738,8.841996154250724e-07,3.6069885126553737e-06,,Dubcova1,16129,16129,253009
bcgs,ilu,1e-08,500,1,2,52,0.3556881250115111,1.402533182665969e-06,2.555265073851856e-07,,Dubcova2,65025,65025,1030225
bcgs,jacobi,1e-08,500,1,2,132,0.1729199580149725,8.636748302478923e-07,6.212607615147505e-06,,Dubcova2,65025,65025,1030225
cg,jacobi,1e-08,500,1,2,180,0.1425579580245539,1.6672371943994236e-06,6.186829513660544e-08,,Dubcova2,65025,65025,1030225
gmres,ilu,1e-08,500,1,2,85,0.3193725839955732,2.2893251685585404e-06,1.0544269215918555e-06,,Dubcova2,65025,65025,1030225
gmres,jacobi,1e-08,500,0,-3,500,0.5128203750355169,0.0001583538768117,0.0013345497275147,,Dubcova2,65025,65025,1030225
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,EPA,4772,4772,8965
bcgs,jacobi,1e-08,500,0,-4,70,0.00257229199633,7046915.330953851,1223926064.7231543,,EPA,4772,4772,8965
cg,jacobi,1e-08,500,0,-10,2,0.0001123750116676,1040.946809616519,14.362969399449591,,EPA,4772,4772,8965
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,EPA,4772,4772,8965
gmres,jacobi,1e-08,500,0,-3,500,0.0188633339712396,437.29020002517166,7.837083672635847,,EPA,4772,4772,8965
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,EVA,8497,8497,6726
bcgs,jacobi,1e-08,500,0,-4,37,0.0020362080540508,12018253.438475171,207636451.0791571,,EVA,8497,8497,6726
cg,jacobi,1e-08,500,0,-4,7,0.0002554589882493,10553065.651034614,149066.353545276,,EVA,8497,8497,6726
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,EVA,8497,8497,6726
gmres,jacobi,1e-08,500,0,-5,60,0.0038316670106723,749.789945391546,4276084707248129.5,,EVA,8497,8497,6726
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos02,6927,6927,16944
bcgs,jacobi,1e-08,500,1,2,208,0.0111139999935403,5.455853438644521e-06,0.5935464315874628,,Erdos02,6927,6927,16944
cg,jacobi,1e-08,500,0,-10,2,0.0001304999459534,333.40989610799375,0.9671410179001568,,Erdos02,6927,6927,16944
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos02,6927,6927,16944
gmres,jacobi,1e-08,500,1,2,401,0.0215819160221144,7.140775838740168e-06,0.5935464315874687,,Erdos02,6927,6927,16944
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos972,5488,5488,14170
bcgs,jacobi,1e-08,500,1,2,200,0.008164457976818,3.5900940129855207e-06,0.5506085700850165,,Erdos972,5488,5488,14170
cg,jacobi,1e-08,500,0,-10,2,0.0001170419855043,367.1635829111311,0.9747083290742494,,Erdos972,5488,5488,14170
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos972,5488,5488,14170
gmres,jacobi,1e-08,500,1,2,295,0.0122124169720336,4.791412313574959e-06,0.550608570085018,,Erdos972,5488,5488,14170
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos982,5822,5822,14750
bcgs,jacobi,1e-08,500,1,2,189,0.0079583749175071,4.159356739163512e-06,0.5602924774963758,,Erdos982,5822,5822,14750
cg,jacobi,1e-08,500,0,-10,2,0.0001074159517884,367.5265525284728,0.9716256083357302,,Erdos982,5822,5822,14750
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos982,5822,5822,14750
gmres,jacobi,1e-08,500,1,2,364,0.0163291660137474,4.789866385342687e-06,0.5602924774963794,,Erdos982,5822,5822,14750
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos992,6100,6100,15030
bcgs,jacobi,1e-08,500,1,2,211,0.0090653329389169,4.802747757247697e-06,0.5697387769619907,,Erdos992,6100,6100,15030
cg,jacobi,1e-08,500,0,-10,2,0.0001257079420611,369.39305772828607,0.9693238100720318,,Erdos992,6100,6100,15030
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,Erdos992,6100,6100,15030
gmres,jacobi,1e-08,500,1,2,378,0.0175336670363321,4.952297386701681e-06,0.5697387769619887,,Erdos992,6100,6100,15030
bcgs,ilu,1e-08,500,1,2,7,0.6534947080072016,7.697532997143887e-07,3.085797783569027e-09,,FEM_3D_thermal2,147900,147900,3489300
bcgs,jacobi,1e-08,500,1,2,24,0.0955547499470412,4.425435732110937e-06,6.468285266608286e-08,,FEM_3D_thermal2,147900,147900,3489300
cg,jacobi,1e-08,500,1,2,41,0.0854557909769937,4.275437656072939e-06,1.44052949649699e-08,,FEM_3D_thermal2,147900,147900,3489300
gmres,ilu,1e-08,500,1,2,11,0.6328573330538347,2.76378072913482e-06,9.231871833805689e-09,,FEM_3D_thermal2,147900,147900,3489300
gmres,jacobi,1e-08,500,1,2,40,0.1090005419682711,3.7592623595949433e-06,4.101615194825898e-08,,FEM_3D_thermal2,147900,147900,3489300
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G22,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0254427089821547,0.0402590618770009,0.0215700751344277,,G22,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.000105999992229,42.940300925074666,0.2216486976563459,,G22,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G22,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0176941669778898,0.0631250682664336,0.0255820961872712,,G22,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G23,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0259238340659067,0.0428606738761174,0.0200715941589028,,G23,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001008749241009,40.9342059137577,0.2130473058529194,,G23,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G23,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.017489958088845,0.0612630492523816,0.0219163497606256,,G23,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G24,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0253225000342354,0.0211963917813415,0.0120670079192999,,G24,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,2,0.0001248329645022,43.35350565738258,0.2214188533482723,,G24,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G24,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0176822920329868,0.0761210772938577,0.0248645895137666,,G24,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G25,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.0255777079146355,0.0188144767267911,0.0098901379060022,,G25,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,3,0.0001308750361204,7968.459349781996,28.26619955959418,,G25,2000,2000,39980
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G25,2000,2000,39980
gmres,jacobi,1e-08,500,0,-3,500,0.0173747079679742,0.0565365821274594,0.0175062332980992,,G25,2000,2000,39980
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,G26,2000,2000,39980
bcgs,jacobi,1e-08,500,0,-3,500,0.025594332953915,0.0378014237963022,0.0203208741302584,,G26,2000,2000,39980
cg,jacobi,1e-08,500,0,-10,3,0.0001444169320166,717.1254320736712,2.4691517933637472,,G26,2000,2000,39980
